2024-12-08 23:57:14,468 INFO    MainThread:19876 [wandb_setup.py:_flush():68] Current SDK version is 0.19.0
2024-12-08 23:57:14,469 INFO    MainThread:19876 [wandb_setup.py:_flush():68] Configure stats pid to 19876
2024-12-08 23:57:14,469 INFO    MainThread:19876 [wandb_setup.py:_flush():68] Loading settings from /home/codeany/.config/wandb/settings
2024-12-08 23:57:14,469 INFO    MainThread:19876 [wandb_setup.py:_flush():68] Loading settings from /workspaces/nanoGPT/wandb/settings
2024-12-08 23:57:14,469 INFO    MainThread:19876 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-08 23:57:14,469 INFO    MainThread:19876 [wandb_init.py:_log_setup():528] Logging user logs to /workspaces/nanoGPT/wandb/run-20241208_235714-1wnrqf7h/logs/debug.log
2024-12-08 23:57:14,469 INFO    MainThread:19876 [wandb_init.py:_log_setup():529] Logging internal logs to /workspaces/nanoGPT/wandb/run-20241208_235714-1wnrqf7h/logs/debug-internal.log
2024-12-08 23:57:14,469 INFO    MainThread:19876 [wandb_init.py:init():639] calling init triggers
2024-12-08 23:57:14,469 INFO    MainThread:19876 [wandb_init.py:init():645] wandb.init called with sweep_config: {}
config: {'out_dir': 'out-shakespeare-char', 'eval_interval': 250, 'log_interval': 10, 'eval_iters': 200, 'eval_only': False, 'always_save_checkpoint': False, 'init_from': 'scratch', 'wandb_log': True, 'wandb_project': 'shakespeare-char', 'wandb_run_name': 'mini-gpt', 'dataset': 'shakespeare_char', 'gradient_accumulation_steps': 1, 'batch_size': 256, 'block_size': 256, 'n_layer': 6, 'n_head': 6, 'n_embd': 384, 'dropout': 0.2, 'bias': False, 'learning_rate': 0.001, 'max_iters': 5000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.99, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 100, 'lr_decay_iters': 5000, 'min_lr': 0.0001, 'backend': 'nccl', 'device': 'cuda', 'dtype': 'float16', 'compile': True}
2024-12-08 23:57:14,469 INFO    MainThread:19876 [wandb_init.py:init():688] starting backend
2024-12-08 23:57:14,469 INFO    MainThread:19876 [wandb_init.py:init():692] sending inform_init request
2024-12-08 23:57:14,472 INFO    MainThread:19876 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-08 23:57:14,472 INFO    MainThread:19876 [wandb_init.py:init():705] backend started and connected
2024-12-08 23:57:14,473 INFO    MainThread:19876 [wandb_init.py:init():798] updated telemetry
2024-12-08 23:57:14,477 INFO    MainThread:19876 [wandb_init.py:init():830] communicating run to backend with 90.0 second timeout
2024-12-08 23:57:14,701 INFO    MainThread:19876 [wandb_init.py:init():882] starting run threads in backend
2024-12-08 23:57:14,800 INFO    MainThread:19876 [wandb_run.py:_console_start():2443] atexit reg
2024-12-08 23:57:14,801 INFO    MainThread:19876 [wandb_run.py:_redirect():2293] redirect: wrap_raw
2024-12-08 23:57:14,801 INFO    MainThread:19876 [wandb_run.py:_redirect():2358] Wrapping output streams.
2024-12-08 23:57:14,801 INFO    MainThread:19876 [wandb_run.py:_redirect():2383] Redirects installed.
2024-12-08 23:57:14,802 INFO    MainThread:19876 [wandb_init.py:init():925] run started, returning control to user process
